EMPLOYER_NAME,certified_positions,applications,median_annual_wage
"Everbridge, Inc.",4,4,180000.0
"Artech, LLC",4,4,140005.0
ECONTENTI INC,4,4,126090.0
"Leidos, Inc.",4,4,129000.0
"Devfi, Inc.",4,4,122250.0
PYCUBE INC,4,4,91582.0
OAKTON TECHNOLOGIES LLC,4,4,91582.0
AI TECHNOLOGIES LLC,4,4,94942.0
O'Grady Peyton International,4,2,79040.0
Synechron Inc.,4,4,116246.0
"Synechron, Inc.",4,4,114586.0
Deloitte Services LP,4,2,167219.0
"ENTAGILE, LLC",4,4,115500.0
Vision IT USA Inc.,4,4,106500.0
"Qualtrics, LLC",4,4,212500.0
"Okta, Inc. ",4,4,169395.0
"APPLIED PREDICTIVE TECHNOLOGIES, INC.",4,4,155500.0
"Mastercard Technologies, LLC",4,4,126090.0
WIT Inc. ,4,4,108160.0
Navitas Business Consulting Inc,4,4,126090.0
"Airbus Americas Customer Services, Inc.",4,4,95850.0
Pinnacle Education Services Inc.,4,4,74002.0
Delphic Software Solutions Inc,4,4,126100.0
"AgileTrailblazers, LLC",4,4,121014.0
Mphasis Corporation,4,4,130000.0
METROPOLITAN WASHINGTON AIRPORTS AUTHORITY,4,4,164469.0
"AMPCUS, Inc.",4,4,108230.0
PACIFIC CONSULTANCY SERVICES LLC,4,4,101460.0
"Optum Services, Inc. ",4,4,130922.0
"DEKRA Certification, Inc.",4,4,85530.0
"DENKEN SOLUTIONS, INC.",4,4,140400.0
PNCOTECH LLC.,4,4,100610.0
Ellucian Company LLC,4,4,129898.0
Accenture Infrastructure and Capital Projects LLC,4,4,87000.0
"Gate Gourmet, Inc. ",3,3,78981.0
"PHARMAHELP FOUNDATION, INC.",3,3,68682.0
"Smart Tech Consultancy, LLC",3,3,66872.0
Smart Insurance by Solomon Agency LLC,3,3,59550.0
Slove Lights INC.,3,3,88462.0
"AECOM Technical Services, Inc.",3,3,117448.0
ISOFTECH INC,3,3,131000.0
CLOUD DATA LLC,3,3,101500.0
PEGASYSTEMS INC.,3,3,176000.0
2nd Order Solutions Inc.,3,3,122000.0
"iStream Solutions, Inc.",3,3,150758.0
Fox Rehabilitation Services LLC,3,3,97739.0
INTERNATIONAL SOFTWARE SYSTEMS INC,3,3,131810.0
Shotted Tysons Galleria LLC,3,3,259000.0
SOFTWARE ENTERPRISE LLC,3,3,118310.0
Navitas Business Consulting Inc.,3,3,121430.0
SuccessKPI Inc.,3,3,255000.0
"Suffolk Construction Company, Inc.",3,3,91000.0
"ERP Analysts, Inc.",3,3,118310.0
SMA Tech LLC,3,3,126090.0
"General Dynamics Information Technology, Inc.",3,3,126090.0
"APT Holdings, LLC ",3,3,97739.0
Conflux Systems Inc.,3,3,96000.0
Artek Solutions Inc,3,3,92000.0
"Morten Beyer & Agnew, Inc.",3,3,108000.0
"CloudNova Technologies, LLC",3,3,126090.0
Mphasis Corporation ,3,3,97344.0
Prime S4 Technologies LLC,3,3,175427.0
"Wells Fargo Bank, N.A.",3,3,165000.0
CDM Smith Inc.,3,3,90938.0
U.S. Bank National Association,3,3,145330.0
"Fluence Energy, LLC",3,3,128750.0
Prime IT Solutions,3,3,101425.0
NATSOFT CORPORATION,3,3,150758.0
AVERON SOLUTIONS INC,3,3,151000.0
NETLINE TECHNOLOGIES LLC.,3,3,107000.0
"Plateau Software, Inc.",3,3,150758.0
TANVI IT SOLUTIONS INC,3,3,110500.0
"SLIQ INFORMATION TECHNOLOGIES, INC.",3,3,104083.0
"Piper Companies, LLC",3,3,120308.0
"INNOVA SOLUTIONS, INC.",3,3,91582.0
Teladoc Health Inc.,3,3,170872.0
"ELECTRA.AERO, INC.",3,3,190000.0
Hyniva LLC,3,3,101421.0
"Nortech North America, Inc.",3,3,160000.0
"ZestFinance, Inc.",3,3,100000.0
PVK Corporation,3,3,126090.0
GSSR Inc,3,3,151000.0
ENIAC SYSTEMS INC,3,3,126090.0
SageNet LLC,3,3,156223.0
Diyo Technologies LLC,3,3,127000.0
The Sphere Institute ,3,3,103189.0
"Carilion Services, Inc. ",3,3,98738.0
Halvik Corp.,3,3,101421.0
"HealthEdge Software, Inc.",3,3,114187.0
The RAND Corporation,3,3,129402.0
ACE PHYSICAL THERAPY LLC,3,3,87000.0
"AI ENGINEERS, INC.",3,3,106080.0
Coforge Limited,3,3,94319.0
"Gartner, Inc. ",3,3,142526.0
EFICENS SYSTEMS INC,3,3,104100.0
AMALGAM TECHNOLOGIES INC,3,3,106912.0
"Zensar Technologies, Inc.",3,3,130000.0
"Nestle USA, Inc.",3,3,117824.0
"CommLaw Group, PLLC",3,3,124000.0
"iSolvers, Inc.",3,3,154710.0
Saggi Solutions Inc,3,3,126090.0
"Yashco Systems, Inc.",3,3,137280.0
"Yotta Systems, Inc.",3,3,116000.0
"Nestlé USA, Inc.",3,3,125000.0
"Granules Consumer Health, LLC",3,3,69763.0
"PA Consulting Group, Inc.",3,3,140000.0
EPSoft Technologies LLC,3,3,101421.0
New York Technology Partners Inc,3,3,98000.0
IMR SOFT LLC,3,3,126500.0
Torrez Law Group,3,3,123157.0
Technova Systems Inc.,3,3,128461.0
A12XT Inc.,3,3,128125.0
PIONEER CONSULTING LLC,3,3,106442.0
"Niha Technologies, Inc",3,3,115939.0
"GSK Solutions, Inc.",3,3,101421.0
"Calix, Inc.",3,3,114483.0
Sunrise Senior Living Management Inc.,3,3,100069.0
SIGMA SOFTWARE LLC,3,3,126090.0
"Indeed, Inc.",3,3,129667.0
Visa U.S.A. Inc.,3,3,160500.0
"BDO USA, P.C.",3,3,125000.0
