EMPLOYER_NAME,certified_positions,applications,median_annual_wage
"Thorlabs, Inc.",1,1,102586.0
"ThoughtFocus, Inc.",1,1,128461.0
SOFTOVAINC,1,1,84448.0
Transurban (USA) Inc.,1,1,202030.0
"SOFTWARE TECHNOLOGY, INC.",1,1,130000.0
"Trianz Consulting, Inc.",1,1,150758.0
Tribis Inc,1,1,105000.0
"Tricopp, Inc.",1,1,175427.0
"Trigent Solutions, Inc.",1,1,120000.0
Trilogy Federal LLC,1,1,115939.0
STM Tennis LLC,1,1,90000.0
Trilok Software Solutions LLC,1,1,114120.0
Trimble Inc. ,1,1,110119.0
Triotek IT INC,1,1,126090.0
SLN SOLUTIONS LLC.,1,1,101421.0
SLM Education Services LLC f/k/a SLM Nitrocollege LLC,1,1,169950.0
"Trustek, Inc. ",1,1,118500.0
"Transcend IT Solutions, LLC",1,1,91582.0
"TransUnion Interactive, Inc.",1,1,102482.0
SRINI SOFT SYSTEMS INC,1,1,101421.0
Trader Interactive LLC,1,1,175427.0
"Total Resource Management, Inc.",1,1,149500.0
"Total Mortgage Services, LLC",1,1,115000.0
"SSATech, Inc.",1,1,126090.0
"SSP America, Inc.",1,1,95000.0
SSTech LLC,1,1,77106.0
"ST Engineering iDirect, Inc.",1,1,207672.0
STA Technology Corporation,1,1,126880.0
"STAXA TECHNOLOGIES, LLC",1,1,126090.0
"Toast, Inc.",1,1,130300.0
TidalWave Tech Inc.,1,1,161000.0
"Thrive Market, Inc.",1,1,185000.0
"Thoughtworks, Inc.",1,1,245000.0
"STECK SYSTEMS, INC",1,1,84344.0
Stratova Trade Group Inc.,1,1,100880.0
"15Five, Inc.",1,1,190000.0
PERSISTENT SYSTEMS LIMITED,1,1,125000.0
Computek Solutions Inc.,1,1,91582.0
ClickSkill LLC,1,1,191000.0
"Clarewood University, Inc.",1,1,85000.0
"Clarewood University Foundation, Inc.",1,1,82118.0
City of Hope National Medical Center,1,1,90074.0
CitiusTech Inc.,1,1,99750.0
Circle Internet Management Services LLC,1,1,154600.0
Cigna Health and Life Insurance Company,1,1,190000.0
Chinese Christian & Missionary Church (CCMC),1,1,75650.0
Chinese Christian & Minisonary Church (CCMC),1,1,69000.0
China Unicom Americas Operations Ltd.,1,1,65749.0
Chelsoft Solutions Co.,1,1,104000.0
"Chain Bridge Bank, N.A.",1,1,69534.0
"Chags Health Information Technology, LLC",1,1,141000.0
Cepheid,1,1,140898.0
"Cengage Learning, Inc.",1,1,125000.0
Cedars-Sinai Medical Center,1,1,157331.0
"Caveonix, Inc.",1,1,101500.0
Catholic Diocese of Arlington,1,1,37898.0
Cascades Data Solutions Inc.,1,1,101421.0
Carnival Corporation,1,1,115939.0
Carmichael Lynch Inc.,1,1,77106.0
Client Software Services LLC.,1,1,130000.0
"Cliff Services Inc.,",1,1,150800.0
"ClimateWorks Foundation, Inc. ",1,1,75234.0
"Cognial Technologies, Inc.",1,1,101500.0
"Compass Group USA, Inc.",1,1,101421.0
"CommunityForce, Inc.",1,1,101421.0
Community Associations Institute ,1,1,151200.0
Columbia College inc,1,1,85280.0
College Board,1,1,175427.0
Collasys LLC,1,1,101500.0
"Coinbase, Inc.",1,1,203940.0
"Cohesity, Inc.",1,1,210638.0
Cognowiz LLC,1,1,115939.0
Code Gravity LLC,1,1,126090.0
ClinChoice Inc.,1,1,97157.0
"Clune Construction Company, LP",1,1,126796.0
Cloudorama Solutions,1,1,101421.0
Cloudninetek LLC,1,1,91582.0
"Cloudera, Inc.",1,1,173565.0
Cloudbridge Solutions Inc,1,1,126090.0
Cloudberg Tec Limited Company,1,1,140837.0
CloudHQ LLC,1,1,161158.0
Cloud Nine Technologies Inc.,1,1,210579.0
Cloud Data Systems Inc,1,1,91582.0
Carlin Springs SNF Operations LLC,1,1,110323.0
"Carey International, Inc.",1,1,175000.0
Career First LLC,1,1,126000.0
"CHUGH CPAS, LLP",1,1,69139.0
CLOUDAVENT LLC,1,1,151840.0
CLOUD SIGMA TECH LLC.,1,1,107000.0
CLOUD RESOURCES LLC,1,1,126090.0
CLOUD ANALYTICS TECHNOLOGIES LLC,1,1,101421.0
CLINRE INC,1,1,118518.0
CLINRE FOUDNATION,1,1,88587.0
CJW CONTRACTORS INC.,1,1,109000.0
CINTURI TECHNOLOGIES LLC.,1,1,93000.0
"CI DESIGN, INC.",1,1,83200.0
CHERRY TECHNOLOGIES INC.,1,1,210000.0
CLOUDHUB9 TECHNOLOGIES LLC,1,1,126090.0
CHENG YUN & ASSOCIATES PLLC,1,1,55266.0
CES Consulting LLC,1,1,108350.0
CDW Technologies LLC,1,1,176000.0
CDW Government LLC,1,1,120000.0
CBG Building Company LLC,1,1,120000.0
"CARPI USA, Inc.",1,1,135000.0
CARDUS INC,1,1,126880.0
CANUS TECH INC,1,1,84344.0
"CACI, INC - FEDERAL",1,1,181953.0
"CLOUDFLARE, INC.",1,1,193000.0
"CLUTCHPOINT, LLC",1,1,126090.0
"CareSource Management Services, LLC",1,1,245457.0
"CUSTOMER VALUE PARTNERS, INC.",1,1,69139.0
"CarGurus, Inc.",1,1,96000.0
Capital Vision Services LLC,1,1,170872.0
Capgemini America Inc,1,1,150758.0
"Cambay Consulting, LLC",1,1,104083.0
"Callan Family Office, LLC",1,1,130000.0
"CYBER INFOTECH, LLC.",1,1,129480.0
CYBER 1 ARMOR INC.,1,1,170000.0
CYBASTION INSTITUTE OF TECHNOLOGY,1,1,99507.0
CVTech Innovations LLC ,1,1,126090.0
"CT Solutions, Inc.",1,1,127000.0
CNCM LLC,1,1,106912.0
CPA Global North America LLC,1,1,73570.0
"COWI North America, Inc.",1,1,90938.0
CORPORATE COMPUTER SOLUTIONS LLC,1,1,145600.0
CONTINENTAL HUB FOR INFO PROCESSING INC,1,1,115939.0
CONCH TECHNOLOGIES INC,1,1,126090.0
COMPUTOMIC SOFTWARE AND CONSULTING LLC,1,1,252500.0
"COM4 Global, Inc",1,1,102000.0
COLLABORATIVE SYSTEMS INC,1,1,126090.0
COGNIER INC,1,1,126090.0
Computech Corporation,1,1,126090.0
"Comstock Holding Companies, Inc.",1,1,90000.0
"Byteforza, Inc.",1,1,91582.0
Concentrix CVG Customer Management Group Inc.,1,1,126090.0
District of Columbia Health Benefit Exchange Authority,1,1,177839.0
District Construction & Management Corp.,1,1,80000.0
Diligent Group LLC,1,1,126360.0
Dignity Home Care LLC,1,1,64792.0
"Digital Turbine, Inc.",1,1,175427.0
Digital Links Inc.,1,1,126090.0
"Dhanu Global Enterprises, Incorporation",1,1,127000.0
"Dexian, LLC",1,1,75000.0
Dentists of Centreville PLLC,1,1,227573.0
Delviom LLC,1,1,175000.0
"Delphic Software Solutions, Inc.",1,1,70700.0
"Deloitte Touche Tohmatsu Services, LLC",1,1,145330.0
Dell USA L.P.,1,1,146338.0
Dell Products L.P.,1,1,210000.0
Delicatessen Services Company LLC,1,1,135000.0
"Delasoft, Inc.",1,1,99403.0
Data S Solutions LLC,1,1,126090.0
"Data Leaf Buyer, LLC",1,1,160000.0
Data Cloud Tek LLC,1,1,126090.0
"DW Solutions, LLC",1,1,148096.0
DW Matrix ,1,1,91582.0
Dobson DaVanzo & Associates LLC,1,1,114330.0
"Dolphin Pool Services, LLC",1,1,80000.0
"Dropbox, Inc.",1,1,151500.0
EQUIMINE INC,1,1,146000.0
Edgesoft Corporation,1,1,115939.0
East West Marble Company,1,1,126090.0
Early Steps Bilingual Pre-School II INC,1,1,35381.0
Eagleforce Associates INC.,1,1,101358.0
ETOUCH SYSTEMS CORPORATION,1,1,128500.0
ETECH GLOBAL IT SOLUTIONS LLC,1,1,97344.0
ETEAM INC,1,1,95000.0
ESOA TECHNOLOGIES,1,1,92000.0
"ERP Global, Inc.",1,1,126090.0
EPAM Systems Inc.,1,1,130000.0
"Dv01, Inc.",1,1,130000.0
"ENSCO Rail, Inc.",1,1,142154.0
"ENGINEERED SERVICES, INC.",1,1,85696.0
EMERGTECH BUSINESS SOLUTIONS INC,1,1,91582.0
"ELLIPSIS HEALTH, INC. ",1,1,260000.0
"ELAVON, INC.",1,1,116512.0
E3 Global Inc.,1,1,127000.0
E.E. REED Construction - East Coast LLC,1,1,92200.0
Dynamic Technology Inc.,1,1,92000.0
Dwell Design Studio LLC,1,1,80184.0
DVG TECH SOLUTIONS LLC.,1,1,101421.0
"DUPLOCLOUD, INC. ",1,1,126090.0
DSV Air & Sea Inc.,1,1,102586.0
"Conviso, Inc. ",1,1,170000.0
Curatio Management Group,1,1,98000.0
Cuisine Solutions Inc.,1,1,122699.0
"Crogl, Inc.",1,1,350000.0
Creative Systems and Consulting LLC,1,1,238822.0
Creative Information Technology Inc.,1,1,103280.0
"Cowbell Cyber, Inc.",1,1,160000.0
"Covenant Holdings Group, LLC.",1,1,65000.0
"Coterie Applications, Inc.",1,1,180044.0
"Cornet Technology, Inc.",1,1,77106.0
"Convergent IT Solutions, Inc",1,1,126090.0
Curry Cuisine LLC,1,1,80000.0
"ControlCase, LLC",1,1,135262.0
"Constant Contact, Inc.",1,1,105000.0
"Consello Technologies, Inc",1,1,106912.0
Conquertech Innovations LLC,1,1,95493.0
"ConquerTech Innovations, LLC",1,1,174720.0
Conflux Systems Inc,1,1,115939.0
Confiz LLC ,1,1,154600.0
"Conduent State & Local Solutions, Inc.",1,1,165000.0
"Concord USA, LLC",1,1,285000.0
Currie & Brown Inc.,1,1,140000.0
"Customer Value Partners, LLC",1,1,69139.0
"DSSC CONSULTING, LLC.",1,1,110100.0
"DC Group, Inc.",1,1,107000.0
DR BERI DDS PLLC,1,1,164299.0
DPR SOLUTIONS INC,1,1,126090.0
"DOYLE, SCHULTZ & BHATIA PLLC",1,1,90000.0
"DNV Energy Insights USA, Inc.",1,1,122642.0
"DIGITAL DATUM, INC.",1,1,70699.0
DFS Construction Corporation,1,1,95000.0
"DENTISTS OF STERLING, PC",1,1,195000.0
DELL PRODUCTS L.P.,1,1,156709.0
DCUBE DATA SCIENCES CORPORATION,1,1,84344.0
DC Capital Partners Management LP,1,1,148096.0
Cyber Nirvana LLC,1,1,101421.0
"DATSON360, LLC",1,1,70117.0
DATASSAY INC,1,1,90000.0
DATAQUEST CORP,1,1,110240.0
"DATAMART SYSTEMS, INC.",1,1,132000.0
DATA AFFECT LLC,1,1,127000.0
CyrusOne Management Services LLC,1,1,117478.0
Cyma Systems Inc,1,1,175500.0
Cyber Sphere LLC,1,1,115939.0
Cyber Space Technologies LLC,1,1,126090.0
C&C Technology Inc.,1,1,169978.0
ByteBridge Technologies LLC,1,1,131082.0
PACE COMPUTER SOLUTIONS INC,1,1,110240.0
Alterstaff Inc.,1,1,91125.0
"ActioNet, Inc.",1,1,102010.0
"Achieva IT, Inc.",1,1,126090.0
"Aarisha, Inc.",1,1,126090.0
Aanvi Cloud Technologies Inc,1,1,126090.0
"AZURION GROUP, INC.",1,1,66560.0
"AVM Consulting, Inc",1,1,99840.0
AVM Consulting Inc,1,1,99840.0
"AVEnterprise, Inc ",1,1,126100.0
AVERON SERVICES INC.,1,1,107000.0
"AVER TECHNOLOGIES, INC.",1,1,120000.0
AUTARCHY SOLUTIONS INC.,1,1,127000.0
ATMANICA Technologies LLC,1,1,101500.0
"ATI HOLDINGS, LLC",1,1,102276.0
"AT&T SERVICES, INC.",1,1,180250.0
"ASTIR IT SOLUTIONS, INC",1,1,126500.0
"ASCII Group, LLC",1,1,101421.0
ASCENDING Inc. ,1,1,145080.0
ARTIFICIAL INTELLIGENCE STAFFING LLC,1,1,84448.0
ARTIFICIAL INTELLIGENCE LLC,1,1,101421.0
ARISTOS TEK,1,1,101500.0
ARDRA TECH SOLUTIONS LLC,1,1,126090.0
"Acumen Solutions, Inc.",1,1,167170.0
Adis Infotech Inc,1,1,121222.0
Adroix Corp,1,1,126090.0
"Akraya, Inc.",1,1,165693.0
Alphataraxia Management LP,1,1,120000.0
"Alpha Omega Integration, LLC",1,1,128798.0
Allstate Skill Amusement LLC,1,1,84344.0
Allspice Inc.,1,1,185000.0
Alliance Insource Inc,1,1,101421.0
"AlixPartners, LLP",1,1,220000.0
Alesig Consulting LLC,1,1,91582.0
"Alation, Inc.",1,1,259772.0
Alarm.com Inc.,1,1,181465.0
Airlines Reporting Corporation ,1,1,122775.0
Advance Auto Business Support LLC,1,1,97344.0
"Airbus Americas, Inc",1,1,126000.0
"Agovx, LLC",1,1,83034.0
Agisol LLC,1,1,141440.0
Agile1 Tech Corporation,1,1,118310.0
Agile Squad Inc,1,1,106912.0
Aetna Medicaid Administrators LLC,1,1,97302.0
"Advertising Analytics, LLC",1,1,121222.0
"Advent Global Solutions Inc.,",1,1,95784.0
Advantage Consulting & Engineering Services Corporation,1,1,63981.0
ARDOR IT SOLUTIONS INC,1,1,101421.0
ARCANE SYSTEMS INC,1,1,71000.0
ARAXIS SYSTEMS INC.,1,1,116000.0
ABTech Solutions LLC,1,1,150758.0
"AEM, Inc.",1,1,73718.0
ADITI LLC,1,1,126200.0
ADITI CONSULTING LLC,1,1,106454.0
ACTFORE INC,1,1,122990.0
ACI Worldwide Corp.,1,1,112050.0
ACI INFOTECH INC,1,1,111000.0
ACD Operations LLC d/b/a AIA Contract Documents,1,1,177392.0
"ACCELERIZE 360, INC.",1,1,126090.0
"AC Power, LLC",1,1,126464.0
"ABD Solutions, Inc.",1,1,84448.0
AES NEXT OPERATIONS LLC,1,1,155250.0
AARNA PRIYA INC,1,1,129000.0
AADYAM TECHNOLOGIES LLC,1,1,101500.0
AAA Virginia Consulting Inc,1,1,104083.0
A&M IT SOLUTIONS LLC,1,1,101430.0
"6COM, INC",1,1,101500.0
6AI INC,1,1,151000.0
3i INFOTECH INC.,1,1,92000.0
"24x7Systems, Inc.",1,1,176800.0
247Solar Inc.,1,1,140000.0
AES Clean Energy Services LLC,1,1,100000.0
AES Services Inc.,1,1,175000.0
APTIVA CORP,1,1,126090.0
AMERICAN PUBLIC POWER ASSOCIATION,1,1,126464.0
"APPTRICS, LLC",1,1,126250.0
APLOMB TECHNOLOGIES INC.,1,1,101421.0
APEXUS TECH LLC,1,1,91125.0
ANVIM TECH INC.,1,1,152048.0
"ANRA TECHNOLOGIES, INC.",1,1,100000.0
ANJS Technologies LLC,1,1,126090.0
ANCHOR HOMES LLC,1,1,109200.0
AMG TECHNOLOGY,1,1,89440.0
AMERITECH GLOBAL INC.,1,1,104083.0
AMERICAN IT SOLUTIONS INC.,1,1,150758.0
AG INFOTEK INC,1,1,150758.0
"AM of Washington DC, LLC",1,1,61715.0
ALTEXT INC,1,1,95784.0
"ALStream Tech, Inc.",1,1,131997.0
ALLWYN CORPORATION,1,1,126090.0
ALGORITHM INC,1,1,126880.0
AKAMAITEK LLC,1,1,152048.0
"AIVION, INC.",1,1,89000.0
AIR Worldwide Corporation,1,1,145000.0
"AGREEYA SOLUTIONS, INC.",1,1,126090.0
"Alten Technology USA, Inc.",1,1,106933.0
"Alvarez & Marsal Corporate Performance Improvement, LLC",1,1,170000.0
"Business Computers Management Consulting Group, LLC",1,1,165000.0
"Amazon Data Services, Inc.`",1,1,124692.0
BinTech Group LLC,1,1,126090.0
Better Life 4 Forbidden Country,1,1,90938.0
"Behavox, Inc.",1,1,201000.0
Bechtel Power Corporation,1,1,180312.0
Barton Malow Holdings LLC,1,1,73507.0
Balsam Brands Inc.,1,1,193592.0
"Baker Concrete Construction, Inc.",1,1,115180.0
Baim Institute for Clinical Research,1,1,95829.0
BYTEDANCE INC.,1,1,93018.0
"BUSINESS INTELLIGENCE SYSTEMS, INC.",1,1,122720.0
BRINGWISE LLC,1,1,129480.0
BRILLIANT INFOTECH INC.,1,1,126500.0
BPX USA Inc.,1,1,118310.0
BPM BI INC.,1,1,116000.0
"BLEND360, LLC",1,1,123050.0
BITSolutionsus LLC,1,1,91582.0
BENECIAS LLC.,1,1,98000.0
BEESY LLC,1,1,101421.0
BCT CONSULTING INC.,1,1,99200.0
"BC Architects Engineers, PLC",1,1,73507.0
"B. Riley Securities, Inc.",1,1,260000.0
"Biome Analytics, Inc.",1,1,115939.0
Biswas Information Technology Solutions Inc.,1,1,150758.0
"Bits And Binaries, Inc.",1,1,126090.0
Brathon Consulting LLC,1,1,126090.0
BusRight Inc.,1,1,120000.0
BusPatrol America LLC,1,1,120000.0
"Bublup, Inc.",1,1,200000.0
Brookfield Dental Associates LLC,1,1,128960.0
Broad Peak Systems Inc,1,1,126100.0
"Brillfy Technology, Inc",1,1,91600.0
Bridgesoft Infosec LLC,1,1,106500.0
Bridgenext Digital Engineering Inc.,1,1,160000.0
"Bridgecross, LLC",1,1,175000.0
"Bowman Consulting Group, Ltd.",1,1,76000.0
"Block, Inc.",1,1,192920.0
Booz Allen Hamilton Inc.,1,1,192194.0
"Books International, Inc.",1,1,145000.0
BonCamel Inc.,1,1,91200.0
Bolivian Health Services LLC,1,1,75800.0
BlupaceUS LLC,1,1,118310.0
Bluezone Consulting Services LLC,1,1,126090.0
BlueVoyant Management LLC,1,1,170000.0
Blossom Solutions Inc.,1,1,126090.0
"Block, Inc. ",1,1,196328.0
"B-Stock Solutions, LLC",1,1,88462.0
"Azzad Asset Managment, Inc.",1,1,85000.0
Ayven Soft LLC,1,1,118310.0
"Amzur Technologies, Inc.",1,1,126090.0
Applied Computer Techniques Inc.,1,1,140837.0
"Aplomb Technologies, Inc.",1,1,105000.0
Apexsync Technologies LLC,1,1,106080.0
"Apex Infrastructure Consultants, LLC",1,1,170000.0
"Anybill Financial Services, Inc.",1,1,70699.0
AnnaSudha Community Kitchens Corp,1,1,86861.0
Ann & Robert H. Lurie Children's Hospital of Chicago,1,1,118726.0
Anderson Cooper Group PC,1,1,75442.0
Anagh Technologies Inc,1,1,116480.0
Amgen Inc.,1,1,144900.0
Appteon Inc.,1,1,118000.0
Amerisoft Corporation ,1,1,101421.0
"American Unit, Inc",1,1,104500.0
"American Real Estate Partners Management, LLC",1,1,190000.0
American Quartz Granite LLC,1,1,131000.0
"American Contracting & Environmental Services, Inc.",1,1,92360.0
American Automatic Sprinkler Co Inc,1,1,130000.0
"American Anesthesiology of Virginia, P.C.",1,1,239200.0
"AmeriGas Propane, Inc.",1,1,134963.0
"Ambassadors for Christ, Inc.",1,1,80000.0
Apps Solutions Inc,1,1,126090.0
"Arbiter AI, LLC",1,1,225000.0
"Axon Enterprise, Inc.",1,1,150000.0
"Atropos Health, Inc.",1,1,190000.0
"Axis Tech, Inc.",1,1,122720.0
"Avant Systems, Inc.",1,1,112755.0
"AvalonBay Communities, Inc.",1,1,151000.0
"Autodesk, Inc.",1,1,187200.0
Auterion Inc.,1,1,185078.0
Auterion Inc,1,1,175427.0
"Aurigo Software Technologies, Inc.",1,1,140837.0
"Aurality, Inc.",1,1,122000.0
Attain Finance LLC,1,1,96699.0
Atlas Labs Inc.,1,1,300000.0
"Arcadis U.S., Inc.",1,1,105789.0
Atlan Inc,1,1,176000.0
Ashoka,1,1,83034.0
AscentIT LLC,1,1,128461.0
Ascension Health Alliance,1,1,175000.0
"Aruna Info, Inc.",1,1,140837.0
Army Navy Country Club,1,1,70000.0
"Arista Networks, Inc.",1,1,111067.0
"Archer Grey, LLC",1,1,145000.0
Arche Resources LLC,1,1,116480.0
EdifyAlly LLC,1,1,118560.0
"Edunexus, Inc.",1,1,94016.0
Egen Solutions LLC,1,1,102000.0
Mavirik Solutions LLC,1,1,126090.0
MAJUS Consulting LLC,1,1,135000.0
M3 GLOBAL INC,1,1,126090.0
Luminas LLC,1,1,110000.0
Lucent Systems Inc,1,1,115939.0
"Lovelytics Data, LLC",1,1,102000.0
"Loudoun Medical Group, P.C.",1,1,300000.0
"Logic Soft, INC.",1,1,145600.0
Lodestar Systems Inc,1,1,101920.0
Lockheed Martin Corporation,1,1,182220.0
LiveMindz Services Inc,1,1,88462.0
"Live Nation Worldwide, Inc. ",1,1,132000.0
"Liquidity Services, Inc.",1,1,128461.0
LinkedIn Corporation,1,1,146744.0
Lincoln Property Company Commercial LLC,1,1,90000.0
LinQ Global Group LLC,1,1,126090.0
Lighthouse Assets LLC,1,1,77106.0
"Libertycom, LLC",1,1,126090.0
Liberty Mutual Technology Group Inc.,1,1,106454.0
LexisNexis Risk Solutions Inc.,1,1,136049.0
Lex Nimble Solutions Inc.,1,1,115939.0
League Corp,1,1,192800.0
"MAXSA Innovations, LLC",1,1,72000.0
MEDLAUNCH CONCEPTS LLC,1,1,101421.0
MEP Designs Inc,1,1,95000.0
MULTIVISION LLC,1,1,126090.0
Marymount University,1,1,91000.0
Marvel Tech Groups Inc,1,1,101500.0
"Mars, Incorporated",1,1,190000.0
"Maptician, Inc.",1,1,112466.0
Maplebear Inc.,1,1,180000.0
Mansai Corporation,1,1,126090.0
Madison Energy Holdings LLC,1,1,126901.0
Macias Gini & O'Connell LLP,1,1,103613.0
MYTHRI CONSULTING LLC,1,1,126090.0
"MTX Group, Inc.",1,1,142800.0
"MERIDIAN SOFTWARE SOLUTIONS, INC.",1,1,91600.0
MTFA ARCHITECTURE PLLC,1,1,78000.0
"MNTN, Inc.",1,1,220000.0
MLU Corporation,1,1,73600.0
ML TECHNOLOGIES LLC.,1,1,104083.0
"MI Softech, Inc",1,1,126090.0
MGA Entertainment Inc.,1,1,260000.0
METTA MONTESSORI SCHOOL LLC.,1,1,55930.0
META IT SYSTEMS LLC,1,1,106912.0
"MERP Systems, Inc.",1,1,106460.0
Lead IT Corporation,1,1,97344.0
"LandDesign, Inc.",1,1,72000.0
"Land Development Consultants, Inc.",1,1,91000.0
KELLTON TECH INC.,1,1,150758.0
"KMC, Inc. ",1,1,156000.0
KLICK OASIS SYSTEMS INC,1,1,163030.0
KLA Corporation,1,1,126152.0
"KIP Information Technologies, Inc.",1,1,150758.0
KHANI STAFFING TECH CORP,1,1,95326.0
KGATE Technologies Inc,1,1,126100.0
KEYSTONE TECHNOLOGY PARTNERS INC,1,1,126090.0
"KEYSIGHT TECHNOLOGIES, INC.",1,1,112112.0
"KEYPIXEL SOFTWARE SOLUTIONS, LLC.",1,1,126090.0
KASTECH SOLUTIONS LLC,1,1,126100.0
"KMM TECHNOLOGIES, INC",1,1,151000.0
K Tek Soft Inc,1,1,101421.0
"Juume AI, Inc.",1,1,75000.0
Juju Tech LLC,1,1,121222.0
Joveo Inc.,1,1,144000.0
Josh Pros LLC,1,1,126880.0
"Jeff Lipsey Bookkeeping, LLC",1,1,93600.0
Jane's Group Americas LLC,1,1,83034.0
JUNO-LOUDOUN LLC,1,1,90000.0
JSI RESEARCH & TRAINING INSTITUTE,1,1,128419.0
KMINDS LLC,1,1,126090.0
KNACK NY INC,1,1,115939.0
"LXA Group, Inc",1,1,88462.0
Knacksoft LLC,1,1,115939.0
"LUZON TECHNOLOGIES, INC.",1,1,101421.0
LPL Financial LLC,1,1,170000.0
"LOGICATECH,INC",1,1,126880.0
Kyndryl Inc.,1,1,214917.0
Kumo IT Services Inc.,1,1,150758.0
"Kpriyan IT Enterprise Solutions, LLC",1,1,104000.0
Korea-US Quantum Technology Cooperation Center,1,1,166400.0
Kodeva LLC,1,1,118310.0
"KnowBe4, Inc.",1,1,115939.0
"Klarity Intelligence, Inc.",1,1,230000.0
KSApex LLC,1,1,106500.0
"Kimley-Horn and Associates, Inc.",1,1,119948.0
"Keya Accounting and Tax Services, LLC",1,1,56493.0
KeyBank National Association,1,1,130000.0
Kerecis LLC,1,1,75000.0
"Kentik Technologies, Inc.",1,1,160000.0
"Kapsch TrafficCom USA, Inc",1,1,150758.0
Kalven Technologies Inc.,1,1,126090.0
Kajeet Inc.,1,1,124200.0
"KYM Advisors, Inc.",1,1,70117.0
Massachusetts Mutual Life Insurance Company,1,1,175427.0
Mayer Brown LLP,1,1,435000.0
Eiserone LLC,1,1,101421.0
"McKenna & Associates, LLC",1,1,148096.0
Nyquiste Corporation,1,1,101421.0
Nuvitek LLC,1,1,200000.0
"NucleusTeq, Inc.",1,1,115000.0
Novi IT Inc.,1,1,104083.0
Northstar Technologies Inc,1,1,135200.0
"Northern Virginia Oral & Maxillofacial Surgery Associates, PC",1,1,196061.0
Northern Virginia Juvenile Detention Commission,1,1,73478.0
Northeastern University,1,1,82888.0
Nokia of America Corporation,1,1,151111.0
"Noesys, Inc",1,1,91582.0
Noblesoft Solutions Inc,1,1,150800.0
"NobleSoft Solutions, Inc.",1,1,115940.0
"Nivid Infotech, Inc",1,1,91582.0
Niche IT Software Solutions LLC,1,1,122990.0
Nexxen Inc. ,1,1,221000.0
Nextgen IT Solutions Inc,1,1,73466.0
Neutron Holdings Inc. ,1,1,240000.0
"NetScout Systems, Inc.",1,1,137010.0
Neoitek Systems Inc.,1,1,126090.0
Nationwide Mutual Insurance Company,1,1,117670.0
"National Rehabilitation Hospital, Inc.",1,1,110473.0
O2 TECHNOLOGIES INC,1,1,99000.0
OKOS Solutions LLC,1,1,66400.0
ONEUS Technologies LLC,1,1,106912.0
"Optimal Satcom, Inc",1,1,80500.0
Orpine Inc,1,1,126090.0
Oriontek Inc.,1,1,126090.0
Origami Risk LLC,1,1,179469.0
Orien Solutions Inc,1,1,91582.0
Oregon State University,1,1,106560.0
Ordinary Theory LLC,1,1,70699.0
"Orbis America, Inc.",1,1,152100.0
"Ora, Inc.",1,1,97157.0
Ora Apps Inc,1,1,152048.0
"Optilogic, Inc.",1,1,130000.0
OPTIMUS UNIT LLC,1,1,106454.0
"OpenGov, Inc.",1,1,148096.0
"Onyx Design and Consulting, LLC",1,1,108347.0
"Onur Ulgen, Inc.",1,1,150758.0
OneMain General Services Corporation,1,1,114011.0
Olympus Corporation of the Americas,1,1,82139.0
Ofinno LLC,1,1,135000.0
Oberon IT Inc,1,1,95000.0
"OUTDOOR CAP COMPANY, INC.",1,1,70117.0
OST INC,1,1,73570.0
National Board of Medical Examiners,1,1,144570.0
"National Association of Scholars, Inc",1,1,92000.0
Napa Analytics LLC,1,1,151000.0
Metrix IT Solutions INC,1,1,126090.0
Miruvor LLC,1,1,163363.0
"Mine Vision Holdings, Inc.",1,1,106000.0
"MindPROS, Inc.",1,1,126100.0
Mightycause Corporation,1,1,126090.0
"Midwest Veterinary Partners, LLC, d/b/a Clarendon Animal Care North",1,1,140000.0
MicroStrategy Services Corporation,1,1,140000.0
Michigan Public Health Institute,1,1,102100.0
"Michael W. Sim & Company, P.C.",1,1,88816.0
"Metropolis Employee Services, LLC",1,1,143395.0
"Metanoia Solutions, Inc.",1,1,126090.0
"Moody's Analytics, Inc.",1,1,105667.0
Metahorizon Inc.,1,1,88462.0
"Mercury Intermedia, Inc.",1,1,101421.0
"Mercury Insurance Services, LLC",1,1,170872.0
Mega Glass LLC,1,1,108451.0
"Meerutech, LLC",1,1,130000.0
"Medidata Solutions, Inc.",1,1,136000.0
Mcsquared AI LLC,1,1,98000.0
McLeod Health,1,1,146600.0
McKesson Corporation,1,1,345000.0
"MoneyGram International, Inc.",1,1,155000.0
Mosaic Design & Build LLC,1,1,75000.0
NUVITEK LLC,1,1,110000.0
"NESTLE USA, INC",1,1,131222.0
"NTT DATA Services, LLC",1,1,142217.0
"NTT DATA Europe & Latam, Branch in USA, Inc.",1,1,140000.0
NPTE Final Frontier LLC,1,1,125000.0
"NOVICK, KIM & LEE PLLC",1,1,211400.0
NITYOSOFT INCORPORATED,1,1,126090.0
"NIRA, Inc.",1,1,148606.0
NIHA TECHNOLOGIES INC,1,1,106454.0
"NGA GROUP, INC.",1,1,91582.0
NEXT GEN IT,1,1,91582.0
"NESTLE REGIONAL GLOBE OFFICE NORTH AMERICA, INC",1,1,164575.0
"MovePlan USA, Inc.",1,1,82451.0
NEO TECH SOLUTIONS INC.,1,1,106454.0
NEO PRISM SOLUTIONS LLC,1,1,126090.0
NEMO IT SOLUTIONS INC,1,1,105146.0
NEEVSYS INC.,1,1,105000.0
"NB Ventures, Inc.",1,1,209000.0
