PARENT_EMPLOYER,certified_positions,filing_entities,applications,median_annual_wage
"Infospan Global, Llc.",3,1,3,91582.0
"Yotta Systems, Inc.",3,1,3,116000.0
Ace Physical Therapy Llc,3,1,3,87000.0
Acetech Group Corporation,3,1,3,150758.0
"Yashco Systems, Inc.",3,1,3,137280.0
Index Analytics Llc,3,1,3,175427.0
"Independent Project Analysis, Inc.",3,1,3,93000.0
Adobe Inc.,3,1,3,122990.0
"Advansys, Inc.",3,1,3,126090.0
Sapot Systems Inc,3,1,3,126090.0
Imr Soft Llc,3,1,3,126500.0
Sagenet Llc,3,1,3,156223.0
Saggi Solutions Inc,3,1,3,126090.0
"Aecom Technical Services, Inc.",3,1,3,117448.0
"Ai Engineers, Inc.",3,1,3,106080.0
"Airbus Americas, Inc.",3,1,3,113862.0
"Akamai Technologies, Inc.",3,1,3,124271.0
"Nortech North America, Inc.",3,1,3,160000.0
"Allied Informatics, Inc.",3,1,3,106500.0
"Sap Labs, Llc",3,1,3,153000.0
"Pa Consulting Group, Inc.",3,1,3,140000.0
Hyniva Llc,3,1,3,101421.0
Intellisoft Technologies,3,1,3,97344.0
"Pharmahelp Foundation, Inc.",3,1,3,68682.0
"General Dynamics Information Technology, Inc.",3,1,3,126090.0
Molina Technologies Llc.,3,1,3,116000.0
Pioneer Consulting Llc,3,1,3,106442.0
Beaconfire Staffing Solutions Inc.,3,1,3,91582.0
"Plateau Software, Inc.",3,1,3,150758.0
Sigma Software Llc,3,1,3,126090.0
"Gate Gourmet, Inc. ",3,1,3,78981.0
"Sliq Information Technologies, Inc.",3,1,3,104083.0
Fox Rehabilitation Services Llc,3,1,3,97739.0
Shotted Tysons Galleria Llc,3,1,3,259000.0
Bechtel Infrastructure And Power Corporation,3,1,3,110000.0
"Morten Beyer & Agnew, Inc.",3,1,3,108000.0
"Bdo Usa, P.C.",3,1,3,125000.0
"Piper Companies, Llc",3,1,3,120308.0
"Renner And Company, Cpa, Pc",3,1,3,92000.0
Mphasis Corporation ,3,1,3,97344.0
Blue Verse Systems Corp,3,1,3,116500.0
V-Soft Solutions Inc. ,3,1,3,126090.0
"Smart Tech Consultancy, Llc",3,1,3,66872.0
"Universal System Technologies, Inc.",3,1,3,92000.0
Sma Tech Llc,3,1,3,126090.0
Smart Insurance By Solomon Agency Llc,3,1,3,59550.0
Molg Inc.,3,1,3,115000.0
"Istream Solutions, Inc.",3,1,3,150758.0
"Brillio, Llc",3,1,3,126090.0
Averon Solutions Inc,3,1,3,151000.0
"Gartner, Inc. ",3,1,3,142526.0
"Bizcloud Analytics, Inc.",3,1,3,115939.0
Slove Lights Inc.,3,1,3,88462.0
Sunraise Technologies Inc,2,2,2,87391.0
"Riva Solutions, Inc",2,1,2,106933.0
Inteliroute Technologies Llc,2,1,2,113756.0
I Giants Inc.,2,1,2,91582.0
"Sunray Information Technologies, Inc.",2,1,2,110000.0
"Dulles Geotechnical And Material Testing Services, Inc.",2,1,2,111733.0
First Citizens Bank And Trust Co.,2,1,2,169395.0
Sunray Systems Inc,2,1,2,138424.0
Inteli Platforms Inc.,2,1,2,115087.0
"Intellectt, Inc.",2,1,2,176800.0
Jnit Technologies Inc,2,1,2,135710.0
"Intellibee, Inc.",2,1,2,124540.0
I-66 Express Mobility Partners Llc,2,1,2,106842.0
Icloud Technologies Corp.,2,1,2,96490.0
Intellisoft Systems Llc,2,1,2,91582.0
Strategic Resources International Inc,2,1,2,106454.0
Resource Innovative Technologies Llc,2,1,2,84344.0
E-Kare Inc.,2,1,2,99233.0
Sann It Solutions Inc,2,1,2,138424.0
"Ecs Mid-Atlantic, Llc",2,1,2,101650.0
Eai Technologies Llc,2,1,2,85000.0
Hyposoft Solutions Inc,2,1,2,126090.0
"Strategic Staffing Solutions, L.C.",2,1,2,130645.0
"Strategic Systems, Inc.",2,1,2,101710.0
"Drivestream, Inc.",2,1,2,183000.0
"Freyssinet, Inc. ",2,1,2,79412.0
"Drfirst.Com, Inc.",2,1,2,107290.0
Korean Community Service Center Of Greater Washington,2,1,2,54163.0
Swartek Corporation,2,1,2,125000.0
Snikfend Inc,2,1,2,110500.0
"Remote Tiger, Inc.",2,2,2,119081.0
Smk Soft Inc.,2,1,2,120000.0
Radiant Technologies Inc.,2,1,2,108845.0
"Rx Office, Inc",2,1,2,93434.0
Synapse Business Systems Inc,2,1,2,85748.0
Infomarines Inc,2,1,2,140837.0
Dfs Services Llc,2,1,2,147348.0
"Rootlogic Systems, Llc",2,1,2,118000.0
Rubik Systems Llc,2,1,2,104083.0
Lakshya Technologies Inc,2,1,2,91582.0
"Smb Shared Services, Inc.",2,1,2,139900.0
Rpa Technologies Llc,2,1,2,92882.0
"Innorev Technologies, Inc",2,1,2,165045.0
"Infinite Computer Solutions, Inc.",2,1,2,119766.0
Dish Wireless Llc,2,1,2,168252.0
Saisa Llc,2,1,2,163092.0
Institute For Building Technology And Safety,2,1,2,126997.0
"Rlt Technologies, Inc",2,1,2,102000.0
"Itech Us, Inc.",2,1,2,108836.0
"Resonate Networks, Inc.",2,1,2,151936.0
Future Us Llc,2,1,2,115926.0
Inadev Corporation,2,1,2,126090.0
Roblox Corporation,2,1,2,168815.0
"Incom Technologies, Inc.",2,1,2,163215.0
Jean Martin Inc,2,1,2,108836.0
"Sunshare Company Holdings, Llc",2,1,2,154710.0
Ralph Lauren Corporation,2,1,2,159568.0
Raks Group Llc,2,1,2,122200.0
"Fiserv Solutions, Llc",2,1,2,128461.0
"Disys Solutions, Inc. (Dsi)",2,1,2,123250.0
Supremesoft Corporation,2,1,2,114611.0
"Radixlink, Inc.",2,1,2,124946.0
"Kimc U.S., Inc.",2,1,2,148096.0
"Solvency, Inc.",2,1,2,113391.0
