PARENT_EMPLOYER,certified_positions,filing_entities,applications,median_annual_wage
Technocraft Solutions Llc,1,1,1,115944.0
"Technology Solution Providers, Inc",1,1,1,120000.0
Sstech Llc,1,1,1,77106.0
"Techquest Solutions, Llc.",1,1,1,101600.0
"Tekcel Consulting, Inc.",1,1,1,106500.0
Tekallianz Corporation,1,1,1,110000.0
Tekaccel Inc,1,1,1,97344.0
Tek-Star Corporation,1,1,1,126090.0
Tek Leaders Inc,1,1,1,127000.0
"Tek Grove, Llc",1,1,1,126880.0
"Tegna, Inc.",1,1,1,140250.0
Techzion It Solutions Inc,1,1,1,126090.0
"Techpoint, Llc",1,1,1,88462.0
"Technoserve, Inc",1,1,1,84000.0
"Techpillars, Inc.",1,1,1,126100.0
"Techouts, Inc.",1,1,1,140850.0
"Techorbit, Inc.",1,1,1,95300.0
"Technumen, Inc.",1,1,1,126090.0
Technoyon Inc. Formerly Known As Xcelligen Systems Inc.,1,1,1,101421.0
"Technovera, Inc",1,1,1,127000.0
"Technova Systems, Inc.",1,1,1,106454.0
Technosoft Corporation,1,1,1,126090.0
Syntage Tech Llc,1,1,1,126090.0
Syntactech Inc ,1,1,1,94500.0
Synergy Consultants & Cpas Llc,1,1,1,70000.0
Sterling Jewelers Inc.,1,1,1,163363.0
"Strategic Solutions Group, Llc",1,1,1,155000.0
"Strategic Funding Source, Inc.",1,1,1,88462.0
"Strategic Alternative Funds Group, Llc",1,1,1,90000.0
Stooge Inc,1,1,1,108000.0
"Stone Hot Pizza Of Skyline, Llc",1,1,1,84344.0
"Stoke Therapeutics, Inc.",1,1,1,126136.0
Stm Tennis Llc,1,1,1,90000.0
"Sticky.Io, Inc.",1,1,1,120000.0
"Steck Systems, Inc",1,1,1,84344.0
"Synergy Business Innovation & Solutions, Inc.",1,1,1,140837.0
"Onyx Design And Consulting, Llc",1,1,1,108347.0
"Stayntouch, Inc.",1,1,1,130562.0
"Staxa Technologies, Llc",1,1,1,126090.0
"Stanley Black And Decker, Inc.",1,1,1,172379.0
Stanley Black & Decker Inc.,1,1,1,169600.0
Staffingspot Llc,1,1,1,106912.0
Sta Technology Corporation,1,1,1,126880.0
"St Engineering Idirect, Inc.",1,1,1,207672.0
"Stratez Infotech, Inc",1,1,1,116000.0
Stratova Trade Group Inc.,1,1,1,100880.0
"Stride, Inc.",1,1,1,141211.0
"Stripe, Llc",1,1,1,174720.0
Syneren Technologies Corporation,1,1,1,86700.0
Synechron Inc,1,1,1,105060.0
"Synchronisys, Inc.",1,1,1,108160.0
Synaptitude Inc.,1,1,1,145000.0
Synapsiq Llc,1,1,1,102170.0
Syllable Corporation,1,1,1,150000.0
Sydata Inc,1,1,1,126100.0
"Switch, Ltd.",1,1,1,287000.0
Swansu Inc,1,1,1,150758.0
Svs Technologies Limited,1,1,1,126090.0
Superior Paving Corporation ,1,1,1,111429.0
Super Tech Consulting Llc,1,1,1,118310.0
Sunshare Llc,1,1,1,154710.0
"Sunset Pool Management, Inc.",1,1,1,77200.0
Sunlight Technologies Inc,1,1,1,150758.0
Stv Incorporated,1,1,1,108347.0
"Structural Engineering Group, Inc.",1,1,1,104000.0
"Opengov, Inc.",1,1,1,148096.0
Kminds Llc,1,1,1,126090.0
"Onur Ulgen, Inc.",1,1,1,150758.0
Cloudbridge Solutions Inc,1,1,1,126090.0
Cncm Llc,1,1,1,106912.0
"Clutchpoint, Llc",1,1,1,126090.0
"Clune Construction Company, Lp",1,1,1,126796.0
Cloudorama Solutions,1,1,1,101421.0
Cloudninetek Llc,1,1,1,91582.0
Cloudhub9 Technologies Llc,1,1,1,126090.0
Cloudhq Llc,1,1,1,161158.0
"Cloudflare, Inc.",1,1,1,193000.0
"Cloudera, Inc.",1,1,1,173565.0
Cloudberg Tec Limited Company,1,1,1,140837.0
"Cognial Technologies, Inc.",1,1,1,101500.0
Cloudavent Llc,1,1,1,151840.0
Cloud Sigma Tech Llc.,1,1,1,107000.0
Cloud Resources Llc,1,1,1,126090.0
Cloud Nine Technologies Inc.,1,1,1,210579.0
Cloud Data Systems Inc,1,1,1,91582.0
Cloud Analytics Technologies Llc,1,1,1,101421.0
Clinre Inc,1,1,1,118518.0
Clinre Foudnation,1,1,1,88587.0
Clinchoice Inc.,1,1,1,97157.0
Code Gravity Llc,1,1,1,126090.0
Cognier Inc,1,1,1,126090.0
"Cliff Services Inc.,",1,1,1,150800.0
Computech Corporation,1,1,1,126090.0
Conflux Systems Inc,1,1,1,115939.0
Confiz Llc ,1,1,1,154600.0
"Conduent State & Local Solutions, Inc.",1,1,1,165000.0
"Concord Usa, Llc",1,1,1,285000.0
Conch Technologies Inc,1,1,1,126090.0
Concentrix Cvg Customer Management Group Inc.,1,1,1,126090.0
"Comstock Holding Companies, Inc.",1,1,1,90000.0
Computomic Software And Consulting Llc,1,1,1,252500.0
Computek Solutions Inc.,1,1,1,91582.0
"Compass Group Usa, Inc.",1,1,1,101421.0
Cognowiz Llc,1,1,1,115939.0
"Communityforce, Inc.",1,1,1,101421.0
Community Associations Institute ,1,1,1,151200.0
"Com4 Global, Inc",1,1,1,102000.0
Columbia College Inc,1,1,1,85280.0
College Board,1,1,1,175427.0
Collasys Llc,1,1,1,101500.0
Collaborative Systems Inc,1,1,1,126090.0
"Coinbase, Inc.",1,1,1,203940.0
"Cohesity, Inc.",1,1,1,210638.0
"Climateworks Foundation, Inc. ",1,1,1,75234.0
Client Software Services Llc.,1,1,1,130000.0
Bytedance Inc.,1,1,1,93018.0
"Carey International, Inc.",1,1,1,175000.0
Cbg Building Company Llc,1,1,1,120000.0
"Caveonix, Inc.",1,1,1,101500.0
Catholic Diocese Of Arlington,1,1,1,37898.0
Cascades Data Solutions Inc.,1,1,1,101421.0
"Carpi Usa, Inc.",1,1,1,135000.0
Carnival Corporation,1,1,1,115939.0
Carmichael Lynch Inc.,1,1,1,77106.0
Carlin Springs Snf Operations Llc,1,1,1,110323.0
"Cargurus, Inc.",1,1,1,96000.0
"Caresource Management Services, Llc",1,1,1,245457.0
Cdw Technologies Llc,1,1,1,176000.0
Career First Llc,1,1,1,126000.0
Cardus Inc,1,1,1,126880.0
Capital Vision Services Llc,1,1,1,170872.0
Capgemini America Inc,1,1,1,150758.0
Canus Tech Inc,1,1,1,84344.0
"Cambay Consulting, Llc",1,1,1,104083.0
"Callan Family Office, Llc",1,1,1,130000.0
"Caci, Inc - Federal",1,1,1,181953.0
C&C Technology Inc.,1,1,1,169978.0
Cdw Government Llc,1,1,1,120000.0
Cedars-Sinai Medical Center,1,1,1,157331.0
Clickskill Llc,1,1,1,191000.0
"Chugh Cpas, Llp",1,1,1,69139.0
"Clarewood University, Inc.",1,1,1,85000.0
"Clarewood University Foundation, Inc.",1,1,1,82118.0
Cjw Contractors Inc.,1,1,1,109000.0
City Of Hope National Medical Center,1,1,1,90074.0
Citiustech Inc.,1,1,1,99750.0
Circle Internet Management Services Llc,1,1,1,154600.0
Cinturi Technologies Llc.,1,1,1,93000.0
Cigna Health And Life Insurance Company,1,1,1,190000.0
"Ci Design, Inc.",1,1,1,83200.0
Chinese Christian & Missionary Church (Ccmc),1,1,1,75650.0
"Cengage Learning, Inc.",1,1,1,125000.0
Chinese Christian & Minisonary Church (Ccmc),1,1,1,69000.0
China Unicom Americas Operations Ltd.,1,1,1,65749.0
Cherry Technologies Inc.,1,1,1,210000.0
Cheng Yun & Associates Pllc,1,1,1,55266.0
Chelsoft Solutions Co.,1,1,1,104000.0
"Chain Bridge Bank, N.A.",1,1,1,69534.0
"Chags Health Information Technology, Llc",1,1,1,141000.0
Ces Consulting Llc,1,1,1,108350.0
Cepheid,1,1,1,140898.0
Conquertech Innovations Llc,1,1,1,95493.0
"Conquertech Innovations, Llc",1,1,1,174720.0
"Consello Technologies, Inc",1,1,1,106912.0
Diligent Group Llc,1,1,1,126360.0
"Dropbox, Inc.",1,1,1,151500.0
Dr Beri Dds Pllc,1,1,1,164299.0
"Doyle, Schultz & Bhatia Pllc",1,1,1,90000.0
"Dotsolved Systems, Inc.",1,1,1,140000.0
"Dolphin Pool Services, Llc",1,1,1,80000.0
Dobson Davanzo & Associates Llc,1,1,1,114330.0
"Dnv Energy Insights Usa, Inc.",1,1,1,122642.0
District Of Columbia Health Benefit Exchange Authority,1,1,1,177839.0
District Construction & Management Corp.,1,1,1,80000.0
Dignity Home Care Llc,1,1,1,64792.0
Dsv Air & Sea Inc.,1,1,1,102586.0
"Digital Turbine, Inc.",1,1,1,175427.0
Digital Links Inc.,1,1,1,126090.0
"Digital Datum, Inc.",1,1,1,70699.0
"Dhanu Global Enterprises, Incorporation",1,1,1,127000.0
Dfs Construction Corporation,1,1,1,95000.0
"Dexian, Llc",1,1,1,75000.0
"Dentists Of Sterling, Pc",1,1,1,195000.0
Dentists Of Centreville Pllc,1,1,1,227573.0
Delviom Llc,1,1,1,175000.0
"Dssc Consulting, Llc.",1,1,1,110100.0
"Duplocloud, Inc. ",1,1,1,126090.0
"Constant Contact, Inc.",1,1,1,105000.0
Eclerx Llc,1,1,1,99403.0
Electrify America Llc,1,1,1,140000.0
"Elavon, Inc.",1,1,1,116512.0
"Elasticsearch, Inc.",1,1,1,
Eiserone Llc,1,1,1,101421.0
"Ehealthinsurance Services, Inc.",1,1,1,115939.0
Egen Solutions Llc,1,1,1,102000.0
"Edunexus, Inc.",1,1,1,94016.0
Edifyally Llc,1,1,1,118560.0
Edgesoft Corporation,1,1,1,115939.0
East West Marble Company,1,1,1,126090.0
"Dv01, Inc.",1,1,1,130000.0
Early Steps Bilingual Pre-School Ii Inc,1,1,1,35381.0
Eagleforce Associates Inc.,1,1,1,101358.0
E3 Global Inc.,1,1,1,127000.0
E.E. Reed Construction - East Coast Llc,1,1,1,92200.0
Dynamic Technology Inc.,1,1,1,92000.0
Dwell Design Studio Llc,1,1,1,80184.0
"Dw Solutions, Llc",1,1,1,148096.0
Dw Matrix ,1,1,1,91582.0
Dvg Tech Solutions Llc.,1,1,1,101421.0
"Delphic Software Solutions, Inc.",1,1,1,70700.0
"Deloitte Touche Tohmatsu Services, Llc",1,1,1,145330.0
Dell Usa L.P.,1,1,1,146338.0
Cpa Global North America Llc,1,1,1,73570.0
"Customer Value Partners, Inc.",1,1,1,69139.0
Curry Cuisine Llc,1,1,1,80000.0
Currie & Brown Inc.,1,1,1,140000.0
Curatio Management Group,1,1,1,98000.0
Cuisine Solutions Inc.,1,1,1,122699.0
"Ct Solutions, Inc.",1,1,1,127000.0
"Crogl, Inc.",1,1,1,350000.0
Creative Systems And Consulting Llc,1,1,1,238822.0
Creative Information Technology Inc.,1,1,1,103280.0
"Cowi North America, Inc.",1,1,1,90938.0
Delicatessen Services Company Llc,1,1,1,135000.0
"Cowbell Cyber, Inc.",1,1,1,160000.0
"Covenant Holdings Group, Llc.",1,1,1,65000.0
"Coterie Applications, Inc.",1,1,1,180044.0
Corporate Computer Solutions Llc,1,1,1,145600.0
"Cornet Technology, Inc.",1,1,1,77106.0
"Conviso, Inc. ",1,1,1,170000.0
"Convergent It Solutions, Inc",1,1,1,126090.0
"Controlcase, Llc",1,1,1,135262.0
Continental Hub For Info Processing Inc,1,1,1,115939.0
"Customer Value Partners, Llc",1,1,1,69139.0
Cvtech Innovations Llc ,1,1,1,126090.0
Cybastion Institute Of Technology,1,1,1,99507.0
Cyber 1 Armor Inc.,1,1,1,170000.0
"Delasoft, Inc.",1,1,1,99403.0
Dcube Data Sciences Corporation,1,1,1,84344.0
"Dc Group, Inc.",1,1,1,107000.0
Dc Capital Partners Management Lp,1,1,1,148096.0
"Datson360, Llc",1,1,1,70117.0
Datassay Inc,1,1,1,90000.0
Dataquest Corp,1,1,1,110240.0
"Datamart Systems, Inc.",1,1,1,132000.0
Data S Solutions Llc,1,1,1,126090.0
"Data Leaf Buyer, Llc",1,1,1,160000.0
Data Cloud Tek Llc,1,1,1,126090.0
Data Affect Llc,1,1,1,127000.0
Cyrusone Management Services Llc,1,1,1,117478.0
Cyma Systems Inc,1,1,1,175500.0
Cyberthink Inc,1,1,1,107000.0
Cyber Sphere Llc,1,1,1,115939.0
Cyber Space Technologies Llc,1,1,1,126090.0
Cyber Nirvana Llc,1,1,1,101421.0
"Cyber Infotech, Llc.",1,1,1,129480.0
"Byteforza, Inc.",1,1,1,91582.0
Bytebridge Technologies Llc,1,1,1,131082.0
Elite It Solutions Inc,1,1,1,65957.0
"Alstream Tech, Inc.",1,1,1,131997.0
"American Contracting & Environmental Services, Inc.",1,1,1,92360.0
American Automatic Sprinkler Co Inc,1,1,1,130000.0
"American Anesthesiology Of Virginia, P.C.",1,1,1,239200.0
"Ambassadors For Christ, Inc.",1,1,1,80000.0
"Am Of Washington Dc, Llc",1,1,1,61715.0
"Alvarez & Marsal Corporate Performance Improvement, Llc",1,1,1,170000.0
Altext Inc,1,1,1,95784.0
Alterstaff Inc.,1,1,1,91125.0
"Alten Technology Usa, Inc.",1,1,1,106933.0
Alphataraxia Management Lp,1,1,1,120000.0
American Public Power Association,1,1,1,126464.0
"Alpha Omega Integration, Llc",1,1,1,128798.0
Allwyn Corporation,1,1,1,126090.0
Allstate Skill Amusement Llc,1,1,1,84344.0
Allspice Inc.,1,1,1,185000.0
Alliance Insource Inc,1,1,1,101421.0
"Alixpartners, Llp",1,1,1,220000.0
Algorithm Inc,1,1,1,126880.0
Alesig Consulting Llc,1,1,1,91582.0
"Alation, Inc.",1,1,1,259772.0
American It Solutions Inc.,1,1,1,150758.0
American Quartz Granite Llc,1,1,1,131000.0
"Akraya, Inc.",1,1,1,165693.0
Anjs Technologies Llc,1,1,1,126090.0
Aplomb Technologies Inc.,1,1,1,101421.0
Apexus Tech Llc,1,1,1,91125.0
Apexsync Technologies Llc,1,1,1,106080.0
"Apex Infrastructure Consultants, Llc",1,1,1,170000.0
"Anybill Financial Services, Inc.",1,1,1,70699.0
Anvim Tech Inc.,1,1,1,152048.0
"Anra Technologies, Inc.",1,1,1,100000.0
Annasudha Community Kitchens Corp,1,1,1,86861.0
Ann & Robert H. Lurie Children'S Hospital Of Chicago,1,1,1,118726.0
Anderson Cooper Group Pc,1,1,1,75442.0
"American Real Estate Partners Management, Llc",1,1,1,190000.0
Anchor Homes Llc,1,1,1,109200.0
Anagh Technologies Inc,1,1,1,116480.0
"Amzur Technologies, Inc.",1,1,1,126090.0
Amgen Inc.,1,1,1,144900.0
Amg Technology,1,1,1,89440.0
Ameritech Global Inc.,1,1,1,104083.0
Amerisoft Corporation ,1,1,1,101421.0
"Amerigas Propane, Inc.",1,1,1,134963.0
"American Unit, Inc",1,1,1,104500.0
Alarm.Com Inc.,1,1,1,181465.0
Akamaitek Llc,1,1,1,152048.0
Busright Inc.,1,1,1,120000.0
Aarna Priya Inc,1,1,1,129000.0
Actfore Inc,1,1,1,122990.0
Aci Worldwide Corp.,1,1,1,112050.0
Aci Infotech Inc,1,1,1,111000.0
"Achieva It, Inc.",1,1,1,126090.0
Acd Operations Llc D/B/A Aia Contract Documents,1,1,1,177392.0
"Accelerize 360, Inc.",1,1,1,126090.0
"Ac Power, Llc",1,1,1,126464.0
Abtech Solutions Llc,1,1,1,150758.0
"Abd Solutions, Inc.",1,1,1,84448.0
"Aarisha, Inc.",1,1,1,126090.0
"Acumen Solutions, Inc.",1,1,1,167170.0
Aanvi Cloud Technologies Inc,1,1,1,126090.0
Aadyam Technologies Llc,1,1,1,101500.0
Aaa Virginia Consulting Inc,1,1,1,104083.0
A&M It Solutions Llc,1,1,1,101430.0
"6Com, Inc",1,1,1,101500.0
6Ai Inc,1,1,1,151000.0
3I Infotech Inc.,1,1,1,92000.0
"24X7Systems, Inc.",1,1,1,176800.0
247Solar Inc.,1,1,1,140000.0
"Actionet, Inc.",1,1,1,102010.0
Adis Infotech Inc,1,1,1,121222.0
"Aivion, Inc.",1,1,1,89000.0
Aetna Medicaid Administrators Llc,1,1,1,97302.0
Airlines Reporting Corporation ,1,1,1,122775.0
"Airbus Americas, Inc",1,1,1,126000.0
Air Worldwide Corporation,1,1,1,145000.0
"Agreeya Solutions, Inc.",1,1,1,126090.0
"Agovx, Llc",1,1,1,83034.0
Agisol Llc,1,1,1,141440.0
Agile1 Tech Corporation,1,1,1,118310.0
Agile Squad Inc,1,1,1,106912.0
Ag Infotek Inc,1,1,1,150758.0
Aes Services Inc.,1,1,1,175000.0
Aditi Consulting Llc,1,1,1,106454.0
Aes Next Operations Llc,1,1,1,155250.0
Aes Clean Energy Services Llc,1,1,1,100000.0
"Aem, Inc.",1,1,1,73718.0
"Advertising Analytics, Llc",1,1,1,121222.0
"Advent Global Solutions Inc.,",1,1,1,95784.0
Advantage Consulting & Engineering Services Corporation,1,1,1,63981.0
Advance Auto Business Support Llc,1,1,1,97344.0
Adroix Corp,1,1,1,126090.0
Aditi Llc,1,1,1,126200.0
"Aplomb Technologies, Inc.",1,1,1,105000.0
Applied Computer Techniques Inc.,1,1,1,140837.0
Apps Solutions Inc,1,1,1,126090.0
"Behavox, Inc.",1,1,1,201000.0
"Block, Inc. ",1,1,1,196328.0
"Block, Inc.",1,1,1,192920.0
"Blend360, Llc",1,1,1,123050.0
Bitsolutionsus Llc,1,1,1,91582.0
"Bits And Binaries, Inc.",1,1,1,126090.0
"Biome Analytics, Inc.",1,1,1,115939.0
Bintech Group Llc,1,1,1,126090.0
Better Life 4 Forbidden Country,1,1,1,90938.0
Benecias Llc.,1,1,1,98000.0
Beesy Llc,1,1,1,101421.0
Bluevoyant Management Llc,1,1,1,170000.0
Bechtel Power Corporation,1,1,1,180312.0
Bct Consulting Inc.,1,1,1,99200.0
"Bc Architects Engineers, Plc",1,1,1,73507.0
Barton Malow Holdings Llc,1,1,1,73507.0
Balsam Brands Inc.,1,1,1,193592.0
"Baker Concrete Construction, Inc.",1,1,1,115180.0
Baim Institute For Clinical Research,1,1,1,95829.0
"B. Riley Securities, Inc.",1,1,1,260000.0
"B-Stock Solutions, Llc",1,1,1,88462.0
Blossom Solutions Inc.,1,1,1,126090.0
Bluezone Consulting Services Llc,1,1,1,126090.0
Appteon Inc.,1,1,1,118000.0
Bridgesoft Infosec Llc,1,1,1,106500.0
Buspatrol America Llc,1,1,1,120000.0
"Business Intelligence Systems, Inc.",1,1,1,122720.0
"Business Computers Management Consulting Group, Llc",1,1,1,165000.0
"Bublup, Inc.",1,1,1,200000.0
Brookfield Dental Associates Llc,1,1,1,128960.0
Broad Peak Systems Inc,1,1,1,126100.0
Bringwise Llc,1,1,1,129480.0
Brilliant Infotech Inc.,1,1,1,126500.0
"Brillfy Technology, Inc",1,1,1,91600.0
Bridgenext Digital Engineering Inc.,1,1,1,160000.0
Blupaceus Llc,1,1,1,118310.0
"Bridgecross, Llc",1,1,1,175000.0
Brathon Consulting Llc,1,1,1,126090.0
Bpx Usa Inc.,1,1,1,118310.0
Bpm Bi Inc.,1,1,1,116000.0
"Bowman Consulting Group, Ltd.",1,1,1,76000.0
Booz Allen Hamilton Inc.,1,1,1,192194.0
"Books International, Inc.",1,1,1,145000.0
Boncamel Inc.,1,1,1,91200.0
Bolivian Health Services Llc,1,1,1,75800.0
"Azzad Asset Managment, Inc.",1,1,1,85000.0
"Azurion Group, Inc.",1,1,1,66560.0
Ayven Soft Llc,1,1,1,118310.0
"Arista Networks, Inc.",1,1,1,111067.0
"Ascii Group, Llc",1,1,1,101421.0
Ascentit Llc,1,1,1,128461.0
Ascension Health Alliance,1,1,1,175000.0
Ascending Inc. ,1,1,1,145080.0
"Aruna Info, Inc.",1,1,1,140837.0
Artificial Intelligence Staffing Llc,1,1,1,84448.0
Artificial Intelligence Llc,1,1,1,101421.0
Army Navy Country Club,1,1,1,70000.0
Aristos Tek,1,1,1,101500.0
Ardra Tech Solutions Llc,1,1,1,126090.0
"Axon Enterprise, Inc.",1,1,1,150000.0
Ardor It Solutions Inc,1,1,1,101421.0
"Archer Grey, Llc",1,1,1,145000.0
Arche Resources Llc,1,1,1,116480.0
Arcane Systems Inc,1,1,1,71000.0
"Arcadis U.S., Inc.",1,1,1,105789.0
"Arbiter Ai, Llc",1,1,1,225000.0
Araxis Systems Inc.,1,1,1,116000.0
Aptiva Corp,1,1,1,126090.0
"Apptrics, Llc",1,1,1,126250.0
Ashoka,1,1,1,83034.0
"Astir It Solutions, Inc",1,1,1,126500.0
"At&T Services, Inc.",1,1,1,180250.0
"Ati Holdings, Llc",1,1,1,102276.0
"Axis Tech, Inc.",1,1,1,122720.0
"Avm Consulting, Inc",1,1,1,99840.0
Avm Consulting Inc,1,1,1,99840.0
Averon Services Inc.,1,1,1,107000.0
"Aver Technologies, Inc.",1,1,1,120000.0
"Aventerprise, Inc ",1,1,1,126100.0
"Avant Systems, Inc.",1,1,1,112755.0
"Avalonbay Communities, Inc.",1,1,1,151000.0
"Autodesk, Inc.",1,1,1,187200.0
Auterion Inc.,1,1,1,185078.0
Auterion Inc,1,1,1,175427.0
Autarchy Solutions Inc.,1,1,1,127000.0
"Aurigo Software Technologies, Inc.",1,1,1,140837.0
"Aurality, Inc.",1,1,1,122000.0
Attain Finance Llc,1,1,1,96699.0
"Atropos Health, Inc.",1,1,1,190000.0
Atmanica Technologies Llc,1,1,1,101500.0
Atlas Labs Inc.,1,1,1,300000.0
Atlan Inc,1,1,1,176000.0
Elite Business Consulting Llc,1,1,1,126090.0
Elite Tech Solute Inc,1,1,1,126090.0
Oneus Technologies Llc,1,1,1,106912.0
"Landdesign, Inc.",1,1,1,72000.0
Lincoln Property Company Commercial Llc,1,1,1,90000.0
Lighthouse Assets Llc,1,1,1,77106.0
"Libertycom, Llc",1,1,1,126090.0
Liberty Mutual Technology Group Inc.,1,1,1,106454.0
Lexisnexis Risk Solutions Inc.,1,1,1,136049.0
Lex Nimble Solutions Inc.,1,1,1,115939.0
League Corp,1,1,1,192800.0
Lead It Corporation,1,1,1,97344.0
"Lasership, Inc.",1,1,1,102500.0
"Land Development Consultants, Inc.",1,1,1,91000.0
Linq Global Group Llc,1,1,1,126090.0
Kyndryl Inc.,1,1,1,214917.0
"Kym Advisors, Inc.",1,1,1,70117.0
Kumo It Services Inc.,1,1,1,150758.0
Ksapex Llc,1,1,1,106500.0
"Kpriyan It Enterprise Solutions, Llc",1,1,1,104000.0
Korea-Us Quantum Technology Cooperation Center,1,1,1,166400.0
Kodeva Llc,1,1,1,118310.0
"Knowbe4, Inc.",1,1,1,115939.0
Knacksoft Llc,1,1,1,115939.0
Linkedin Corporation,1,1,1,146744.0
"Liquidity Services, Inc.",1,1,1,128461.0
"Kmm Technologies, Inc",1,1,1,151000.0
"Luzon Technologies, Inc.",1,1,1,101421.0
"Mars, Incorporated",1,1,1,190000.0
"Maptician, Inc.",1,1,1,112466.0
Maplebear Inc.,1,1,1,180000.0
Mansai Corporation,1,1,1,126090.0
Majus Consulting Llc,1,1,1,135000.0
Madison Energy Holdings Llc,1,1,1,126901.0
Macias Gini & O'Connell Llp,1,1,1,103613.0
M3 Global Inc,1,1,1,126090.0
"Lxa Group, Inc",1,1,1,88462.0
Luminas Llc,1,1,1,110000.0
"Live Nation Worldwide, Inc. ",1,1,1,132000.0
Lucent Systems Inc,1,1,1,115939.0
Lpl Financial Llc,1,1,1,170000.0
"Lovelytics Data, Llc",1,1,1,102000.0
"Loudoun Medical Group, P.C.",1,1,1,300000.0
"Logicatech,Inc",1,1,1,126880.0
"Logic Soft, Inc.",1,1,1,145600.0
Lodestar Systems Inc,1,1,1,101920.0
Lockheed Martin Corporation,1,1,1,182220.0
Livemindz Services Inc,1,1,1,88462.0
Knack Ny Inc,1,1,1,115939.0
"Kmc, Inc. ",1,1,1,156000.0
"Iqlogg, Inc.",1,1,1,124800.0
Ittechnica Inc,1,1,1,95784.0
Joveo Inc.,1,1,1,144000.0
Josh Pros Llc,1,1,1,126880.0
Jns Consulting Llc,1,1,1,92000.0
"Jk Moving & Storage, Inc",1,1,1,106912.0
"Jeff Lipsey Bookkeeping, Llc",1,1,1,93600.0
Jcl Consulting Llc,1,1,1,109651.0
"Jc & Associates, Apc",1,1,1,108472.0
Jane'S Group Americas Llc,1,1,1,83034.0
"Izeal, Inc",1,1,1,106454.0
"Itstac, Llc",1,1,1,91582.0
Jsi Research & Training Institute,1,1,1,128419.0
Itex Llc,1,1,1,118560.0
"Iteris, Inc.",1,1,1,77678.0
Itech Consulting Group Inc,1,1,1,101500.0
"Iteans America, Llc.",1,1,1,131000.0
It Trailblazers Llc,1,1,1,175427.0
It Hub Inc,1,1,1,126090.0
It Business Management Solutions Inc.,1,1,1,106500.0
Isoft Llc,1,1,1,92000.0
Iqvia Digital Inc.,1,1,1,255000.0
Jp Technologies Llc,1,1,1,106500.0
Juju Tech Llc,1,1,1,121222.0
Klick Oasis Systems Inc,1,1,1,163030.0
Keybank National Association,1,1,1,130000.0
"Klarity Intelligence, Inc.",1,1,1,230000.0
Kla Corporation,1,1,1,126152.0
"Kip Information Technologies, Inc.",1,1,1,150758.0
"Kimley-Horn And Associates, Inc.",1,1,1,119948.0
Khani Staffing Tech Corp,1,1,1,95326.0
Kgate Technologies Inc,1,1,1,126100.0
Keystone Technology Partners Inc,1,1,1,126090.0
"Keysight Technologies, Inc.",1,1,1,112112.0
"Keypixel Software Solutions, Llc.",1,1,1,126090.0
"Keya Accounting And Tax Services, Llc",1,1,1,56493.0
Juno-Loudoun Llc,1,1,1,90000.0
Kerecis Llc,1,1,1,75000.0
"Kentik Technologies, Inc.",1,1,1,160000.0
Kellton Tech Inc.,1,1,1,150758.0
Kastech Solutions Llc,1,1,1,126100.0
"Kapsch Trafficcom Usa, Inc",1,1,1,150758.0
Kalven Technologies Inc.,1,1,1,126090.0
Kajeet Inc.,1,1,1,124200.0
K Tek Soft Inc,1,1,1,101421.0
"Juume Ai, Inc.",1,1,1,75000.0
Marvel Tech Groups Inc,1,1,1,101500.0
Marymount University,1,1,1,91000.0
Massachusetts Mutual Life Insurance Company,1,1,1,175427.0
"Nestle Regional Globe Office North America, Inc",1,1,1,164575.0
Niha Technologies Inc,1,1,1,106454.0
Niche It Software Solutions Llc,1,1,1,122990.0
"Nga Group, Inc.",1,1,1,91582.0
Nexxen Inc. ,1,1,1,221000.0
Nextgen It Solutions Inc,1,1,1,73466.0
Next Gen It,1,1,1,91582.0
Neutron Holdings Inc. ,1,1,1,240000.0
"Netscout Systems, Inc.",1,1,1,137010.0
"Nestle Usa, Inc",1,1,1,131222.0
Neoitek Systems Inc.,1,1,1,126090.0
Nityosoft Incorporated,1,1,1,126090.0
Neo Tech Solutions Inc.,1,1,1,106454.0
Neo Prism Solutions Llc,1,1,1,126090.0
Nemo It Solutions Inc,1,1,1,105146.0
Neevsys Inc.,1,1,1,105000.0
"Nb Ventures, Inc.",1,1,1,209000.0
Nationwide Mutual Insurance Company,1,1,1,117670.0
"National Rehabilitation Hospital, Inc.",1,1,1,110473.0
National Board Of Medical Examiners,1,1,1,144570.0
"National Association Of Scholars, Inc",1,1,1,92000.0
"Nira, Inc.",1,1,1,148606.0
"Nivid Infotech, Inc",1,1,1,91582.0
Mavirik Solutions Llc,1,1,1,126090.0
"Ntt Data Europe & Latam, Branch In Usa, Inc.",1,1,1,140000.0
Onemain General Services Corporation,1,1,1,114011.0
Olympus Corporation Of The Americas,1,1,1,82139.0
Okos Solutions Llc,1,1,1,66400.0
Ofinno Llc,1,1,1,135000.0
Oberon It Inc,1,1,1,95000.0
O2 Technologies Inc,1,1,1,99000.0
Nyquiste Corporation,1,1,1,101421.0
"Nucleusteq, Inc.",1,1,1,115000.0
"Ntt Data Services, Llc",1,1,1,142217.0
Npte Final Frontier Llc,1,1,1,125000.0
Noblesoft Solutions Inc,1,1,1,150800.0
"Novick, Kim & Lee Pllc",1,1,1,211400.0
Novi It Inc.,1,1,1,104083.0
Northstar Technologies Inc,1,1,1,135200.0
