SOC_TITLE,certified_positions,median_annual_wage,median_premium_pct
Quality Control Systems Managers,1,144570.0,0.0
Human Factors Engineers and Ergonomists,1,82451.0,0.0
Hospitalists,1,260000.0,24.8
Geographers,1,87420.0,2.3
"Foreign Language and Literature Teachers, Postsecondary",1,83766.0,53.4
Occupational Health and Safety Specialists,1,85176.0,25.0
"Sales and Related Workers, All Other",1,89980.8,2.8
Obstetricians and Gynecologists,1,280000.0,142.1
"Mathematical Science Teachers, Postsecondary",1,125500.0,138.7
Facilities Managers,1,69763.0,0.0
Security Managers,1,93017.6,33.3
Self-Enrichment Teachers,1,65874.0,0.0
Epidemiologists,1,88587.0,0.0
"Computer Hardware Engineers, R&D",1,75000.0,2.9
